CD,Species,Family,DBH1,DBH2,Time
CANALL,Canarium_littorale_var._littorale,Burseraceae,2.1,2.3,10.268
CANALR,Canarium_littorale_var._rufum,Burseraceae,3,3.4,10.214
CANALT,Canarium_littorale_var._tomentosum,Burseraceae,2.4,2.6,10.315
CANAME,Canarium_megalanthum,Burseraceae,5.7,5.7,10.195
CANAPA,Canarium_patentinervium,Burseraceae,2.9,3,10.271
CANAPI,Canarium_pilosum,Burseraceae,2.3,2.8,10.274
DACRCO,Dacryodes_costata,Burseraceae,2.4,2.5,10.11
DACRLA,Dacryodes_laxa,Burseraceae,3.6,3.7,10.142
DACRLO,Dacryodes_longifolia,Burseraceae,2.3,3,10.266
DACRR1,Dacryodes_rugosa,Burseraceae,6,7.7,10.488
DACRR2,Dacryodes_rubiginosa,Burseraceae,4.5,4.5,10.414
DACRRO,Dacryodes_rostrata,Burseraceae,8.4,21.2,11.184
SANTAP,Santiria_apiculata,Burseraceae,2.8,3,10.238
SANTGR,Santiria_griffithii,Burseraceae,3.1,3.3,10.112
SANTLA,Santiria_laevigata,Burseraceae,2.7,3.4,10.43
SANTRU,Santiria_rubiginosa,Burseraceae,12.8,15.1,10.26
SANTTO,Santiria_tomentosa,Burseraceae,9.9,10.1,10.244
TRIOMA,Triomma_malaccensis,Burseraceae,3,3,10.06
